"","state","gp","gp_vs_rank","mi","mi_rank","util_diff","rank_diff"
"49","1141111",0.839654642513651,125,0.86056710176748,94,-0.0209124592538295,31
"50","2141111",0.776431470005462,485,0.804192617126657,391,-0.027761147121195,94
"51","3141111",0.733317261191959,1038,0.775398783926878,690,-0.042081522734919,348
"52","4141111",0.691842930491419,1908,0.732988408805067,1465,-0.0411454783136487,443
"53","1241111",0.785696864920655,404,0.805262822821774,379,-0.0195659579011194,25
"54","2241111",0.722473692412466,1224,0.748888338180951,1128,-0.026414645768485,96
"55","3241111",0.679359483598962,2247,0.720094504981171,1806,-0.040735021382209,441
"56","4241111",0.637885152898422,3638,0.677684129859361,3218,-0.0397989769609386,420
"57","1341111",0.757717394643879,689,0.778212255488476,659,-0.0204948608445976,30
"58","2341111",0.69449422213569,1831,0.721837770847653,1757,-0.0273435487119632,74
"59","3341111",0.651380013322186,3144,0.693043937647873,2640,-0.0416639243256872,504
"60","4341111",0.609905682621646,4803,0.650633562526063,4388,-0.0407278799044168,415
"61","1441111",0.718780896658883,1291,0.73758275152037,1359,-0.0188018548614878,-68
"62","2441111",0.655557724150694,2969,0.681208266879547,3085,-0.0256505427288535,-116
"63","3441111",0.61244351533719,4685,0.652414433679768,4307,-0.0399709183425775,378
"64","4441111",0.57096918463665,6639,0.610004058557957,6483,-0.0390348739213071,156
"65","1112111",0.966915088238311,2,0.961681018471348,2,0.00523406976696317,0
"66","2112111",0.903691915730122,19,0.905306533830525,22,-0.00161461810040242,-3
"67","3112111",0.860577706916619,73,0.876512700630745,61,-0.0159349937141264,12
"68","4112111",0.819103376216079,200,0.834102325508935,196,-0.0149989492928561,4
"69","1212111",0.912957310645315,16,0.906376739525642,21,0.00658057111967325,-5
"70","2212111",0.849734138137126,95,0.850002254884818,126,-0.000268116747692337,-31
"71","3212111",0.806619929323623,267,0.821208421685039,262,-0.0145884923614163,5
"72","4212111",0.765145598623083,608,0.778798046563229,654,-0.013652447940146,-46
"73","1312111",0.884977840368539,37,0.879326172192344,59,0.005651668176195,-22
"74","2312111",0.82175466786035,190,0.82295168755152,254,-0.00119701969117059,-64
"75","3312111",0.778640459046846,464,0.794157854351741,467,-0.0155173953048946,-3
"76","4312111",0.737166128346306,975,0.751747479229931,1068,-0.0145813508836242,-93
"77","1412111",0.846041342383543,108,0.838696668224238,170,0.00734467415930484,-62
"78","2412111",0.782818169875354,426,0.782322183583415,605,0.000495986291939143,-179
"79","3412111",0.73970396106185,929,0.753528350383635,1034,-0.0138243893217849,-105
"80","4412111",0.69822963036131,1738,0.711117975261825,2045,-0.0128883449005145,-307
"81","1122111",0.898935817371891,26,0.901111706813941,27,-0.00217588944205005,-1
"82","2122111",0.835712644863702,139,0.844737222173118,147,-0.00902457730941564,-8
"83","3122111",0.792598436050199,360,0.815943388973338,295,-0.0233449529231397,65
"84","4122111",0.751124105349659,770,0.773533013851528,719,-0.0224089085018693,51
"85","1222111",0.844978039778895,111,0.845807427868235,142,-0.000829388089339966,-31
"86","2222111",0.781754867270706,435,0.789432943227412,526,-0.00767807595670555,-91
"87","3222111",0.738640658457203,948,0.760639110027632,926,-0.0219984515704296,22
"88","4222111",0.697166327756663,1771,0.718228734905822,1853,-0.0210624071491592,-82
"89","1322111",0.816998569502119,211,0.818756860534937,279,-0.00175829103281822,-68
"90","2322111",0.75377539699393,738,0.762382375894114,903,-0.0086069789001838,-165
"91","3322111",0.710661188180426,1457,0.733588542694334,1448,-0.0229273545139078,9
"92","4322111",0.669186857479886,2538,0.691178167572524,2700,-0.0219913100926374,-162
"93","1422111",0.778062071517123,469,0.778127356566831,664,-6.52850497083746e-05,-195
"94","2422111",0.714838899008934,1371,0.721752871926008,1762,-0.00691397291707407,-391
"95","3422111",0.67172469019543,2454,0.692959038726229,2644,-0.0212343485307981,-190
"96","4422111",0.63025035949489,3907,0.650548663604418,4393,-0.0202983041095277,-486
"97","1132111",0.855603295206791,83,0.862646614365912,89,-0.00704331915912082,-6
"98","2132111",0.792380122698603,361,0.806272129725089,368,-0.0138920070264864,-7
"99","3132111",0.749265913885099,795,0.77747829652531,671,-0.0282123826402104,124
"100","4132111",0.707791583184559,1527,0.735067921403499,1419,-0.02727633821894,108
"101","1232111",0.801645517613795,301,0.807342335420206,361,-0.00569681780641074,-60
"102","2232111",0.738422345105606,952,0.750967850779383,1083,-0.0125455056737763,-131
"103","3232111",0.695308136292103,1813,0.722174017579603,1747,-0.0268658812875003,66
"104","4232111",0.653833805591563,3040,0.679763642457793,3149,-0.02592983686623,-109
"105","1332111",0.773666047337019,513,0.780291768086908,637,-0.00662572074988899,-124
"106","2332111",0.71044287482883,1462,0.723917283446085,1702,-0.0134744086172546,-240
"107","3332111",0.667328666015327,2592,0.695123450246305,2571,-0.0277947842309786,21
"108","4332111",0.625854335314787,4079,0.652713075124495,4292,-0.0268587398097082,-213
"109","1432111",0.734729549352023,1015,0.739662264118802,1324,-0.00493271476677914,-309
"110","2432111",0.671506376843834,2458,0.683287779477979,2996,-0.0117814026341448,-538
